plate,groups,Avg,SD
1,bckg,394108.90625,38968.74469437582
1,dmso,388078.95789473684,43531.0477771059
1,lib,319531.24,81651.96904384355
1,staur,128395,30768.891636133547
2,bckg,454198.3125,33954.04381298393
2,dmso,469763.92631578946,56551.37324841676
2,lib,407743.59555555554,98968.11689761406
2,staur,149578.375,24064.883183365597
3,bckg,464946.25,19574.67946097713
3,dmso,451925.06315789477,33452.849959311745
3,lib,392975.9866666667,97562.457036253
3,staur,149785.59375,21446.86797174308
4,bckg,405384.25,37499.24691802963
4,dmso,406072.2631578947,38021.225961859476
4,lib,351476.48,91603.88082215341
4,staur,124861.5,17152.45125903433
