well_type,cbd,comp,Avg,SD
cbd,control,5000,46860.14851084998,6970.215995866206
dmso,control,5000,47909.666737958316,13289.000034937173
PC,control,5000,8293.43467204166,1183.375953068225
test_compounds,control,5000,39485.97264654462,14934.304807138993
cbd,cbd,5000,43482.433994928535,7397.915619145816
dmso,cbd,5000,55419.49460872916,11127.14908243973
PC,cbd,5000,14445.467030927055,3761.133885550546
test_compounds,cbd,5000,37266.417233421496,12834.792840440803
cbd,control,2000,47926.06998713333,8800.087369671573
dmso,control,2000,56071.87411514582,7882.008288795834
PC,control,2000,12497.412816416645,3037.817750930856
test_compounds,control,2000,40084.55475109191,13689.308169219257
cbd,cbd,2000,41099.28802906664,4627.492577497166
dmso,cbd,2000,53409.14471452083,7821.780751562332
PC,cbd,2000,14624.853307104138,2948.7731080028707
test_compounds,cbd,2000,37037.01234936196,11954.219809095788
cbd,control,200,40494.29543474999,7587.661361983884
dmso,control,200,51285.078725322914,10585.200471204702
PC,control,200,16298.6142273854,4517.724741527356
test_compounds,control,200,39778.31144343189,10801.002716161458
cbd,cbd,200,37317.50472599998,5021.04194996028
dmso,cbd,200,47784.38788872916,6328.280213480439
PC,cbd,200,10808.264648447906,3265.9517478722405
test_compounds,cbd,200,36862.0170888419,8771.626876133196
